ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP;COORPIN
26;Capital;Brotas;26ª CIPM - Brotas;Atlântico;06 - Brotas;DEPOM
27;Capital;Cabula;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
28;Capital;Cabula VI;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
29;Capital;Caixa D´Água;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
30;Capital;Cajazeiras II;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
31;Capital;Cajazeiras IV;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
32;Capital;Cajazeiras V;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
33;Capital;Cajazeiras VI;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
34;Capital;Cajazeiras VII;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
35;Capital;Cajazeiras VIII;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
36;Capital;Cajazeiras X;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
37;Capital;Cajazeiras XI;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
38;Capital;Calabar;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho;DEPOM
39;Capital;Calabetão;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves;DEPOM
40;Capital;Calçada;16ª CIPM - Comércio;BTS;03 - Bonfim;DEPOM
41;Capital;Caminho das Árvores;35ª CIPM - Iguatemi;Atlântico;16 - Pituba;DEPOM
42;Capital;Caminho de Areia;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
43;Capital;Campinas de Pirajá;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
44;Capital;Canabrava;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
45;Capital;Candeal;26ª CIPM - Brotas;Atlântico;06 - Brotas;DEPOM
46;Capital;Canela;18º BPM - Centro Histórico;BTS;01 - Barris;DEPOM
47;Capital;Capelinha;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
48;Capital;Cassange;49ª CIPM - São Cristóvão;Atlântico;12 - Itapuã;DEPOM
49;Capital;Castelo Branco;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima;DEPOM
50;Capital;Centro;18º BPM - Centro Histórico;BTS;01 - Barris;DEPOM
51;Capital;Centro Administrativo da Bahia;82ª CIPM - CAB;Central;11 - Tancredo Neves;DEPOM
52;Capital;Centro Histórico;18º BPM - Centro Histórico;BTS;01 - Barris;DEPOM
53;Capital;Chapada do Rio Vermelho;40ª CIPM - Nordeste de Amaralina;Atlântico;15 - Nordeste de Amaralina;DEPOM
54;Capital;Cidade Nova;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
55;Capital;Comércio;16ª CIPM - Comércio;BTS;03 - Bonfim;DEPOM
56;Capital;Cosme de Farias;58ª CIPM - Cosme de Farias;Atlântico;06 - Brotas;DEPOM
57;Capital;Costa Azul;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio;DEPOM
58;Capital;Coutos;18ª CIPM - Periperi;BTS;05 - Periperi;DEPOM
59;Capital;Curuzu;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
60;Capital;Dom Avelar;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima;DEPOM
61;Capital;Doron;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
62;Capital;Engenho Velho da Federação;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho;DEPOM
63;Capital;Engenho Velho de Brotas;26ª CIPM - Brotas;Atlântico;06 - Brotas;DEPOM
64;Capital;Engomadeira;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
65;Capital;Fazenda Coutos;19ª CIPM - Paripe;BTS;05 - Periperi;DEPOM
66;Capital;Fazenda Grande do Retiro;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
67;Capital;Fazenda Grande I;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
68;Capital;Fazenda Grande II;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
69;Capital;Fazenda Grande III;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
70;Capital;Fazenda Grande IV;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
71;Capital;Federação;41ª CIPM - Federação;Atlântico;07 - Rio Vermelho;DEPOM
72;Capital;Garcia;18º BPM - Centro Histórico;BTS;01 - Barris;DEPOM
73;Capital;Graça;11ª CIPM - Barra;Atlântico;14 - Barra;DEPOM
74;Capital;Granjas Rurais Presidente Vargas;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves;DEPOM
75;Capital;IAPI;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
77;Capital;Ilha de Maré;19ª CIPM - Paripe;BTS;05 - Periperi;DEPOM
79;Capital;Imbuí;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio;DEPOM
80;Capital;Itacaranha;14ª CIPM - Lobato;BTS;05 - Periperi;DEPOM
81;Capital;Itaigara;35ª CIPM - Iguatemi;Atlântico;16 - Pituba;DEPOM
82;Capital;Itapuã;15ª CIPM - Itapuã;Atlântico;12 - Itapuã;DEPOM
84;Capital;Jaguaripe I;3ª CIPM - Cajazeiras;Central;13 - Cajazeiras;DEPOM
85;Capital;Jardim Armação;39ª CIPM - Boca do Rio;Atlântico;09 - Boca do Rio;DEPOM
86;Capital;Jardim Cajazeiras;47ª CIPM - Pau da Lima;Central;10 - Pau da Lima;DEPOM
87;Capital;Jardim das Margaridas;49ª CIPM - São Cristóvão;Atlântico;12 - Itapuã;DEPOM
88;Capital;Jardim Nova Esperança;50ª CIPM - Sete de Abril;Central;10 - Pau da Lima;DEPOM
89;Capital;Jardim Santo Inácio;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves;DEPOM
90;Capital;Lapinha;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
91;Capital;Liberdade;37ª CIPM - Liberdade;BTS;02 - Liberdade;DEPOM
92;Capital;Lobato;14ª CIPM - Lobato;BTS;05 - Periperi;DEPOM
93;Capital;Luiz Anselmo;58ª CIPM - Cosme de Farias;Atlântico;06 - Brotas;DEPOM
94;Capital;Macaúbas;2ª CIPM - Barbalho;BTS;01 - Barris;DEPOM
95;Capital;Mangueira;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
96;Capital;Marechal Rondon;9ª CIPM - Pirajá;BTS;04 - São Caetano;DEPOM
97;Capital;Mares;16ª CIPM - Comércio;BTS;03 - Bonfim;DEPOM
98;Capital;Massaranduba;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
99;Capital;Mata Escura;48ª CIPM - Sussuarana;Central;11 - Tancredo Neves;DEPOM
100;Capital;Matatu;58ª CIPM - Cosme de Farias;Atlântico;06 - Brotas;DEPOM
101;Capital;Monte Serrat;17ª CIPM - Uruguai;BTS;03 - Bonfim;DEPOM
102;Capital;Moradas da Lagoa;31ª CIPM - Valéria;BTS;08 - CIA;DEPOM
103;Capital;Mussurunga;49ª CIPM - São Cristóvão;Atlântico;12 - Itapuã;DEPOM
104;Capital;Narandiba;23ª CIPM - Tancredo Neves;Central;11 - Tancredo Neves;DEPOM
105;Capital;Nazaré;2ª CIPM - Barbalho;BTS;01 - Barris;DEPOM
